epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
115,2021-04-15,Brazil,AC,TOTAL,9,1383,131,74664,1383,74664,156.81428,8465.93003,0.01852,62122,44233,193561,21947.30904,80246,9098.85649,19089,2164.44523
115,2021-04-15,Brazil,AL,TOTAL,24,3898,789,163807,3898,163807,116.79901,4908.28521,0.02380,156009,8803,399727,11977.35214,399384,11967.07454,124192,3721.26806
115,2021-04-15,Brazil,AM,TOTAL,18,12337,893,361628,12337,361628,297.66465,8725.28740,0.03412,309603,410,904290,21818.52663,521033,12571.37907,184324,4447.33227
115,2021-04-15,Brazil,AP,TOTAL,14,1446,271,102531,1446,102531,170.97635,12123.35837,0.01410,74426,2205,169813,20078.84304,72236,8541.25011,23156,2737.98643
115,2021-04-15,Brazil,BA,TOTAL,141,17000,3831,852458,17000,852458,114.30059,5731.55605,0.01994,819319,190000,1978117,13299.99656,2005623,13484.93491,543460,3653.98818
115,2021-04-15,Brazil,CE,TOTAL,0,15650,0,597518,15650,597518,171.37392,6543.06720,0.02619,411754,87297,1760459,19277.74818,1094476,11984.96114,378080,4140.13109
115,2021-04-15,Brazil,DF,TOTAL,77,7049,965,363344,7049,363344,233.77690,12050.13949,0.01940,344807,661,782118,25938.58987,337449,11191.34352,128030,4246.05707
115,2021-04-15,Brazil,ES,TOTAL,95,8507,2269,411584,8506,411413,211.68800,10241.84739,0.02067,379771,242843,1193052,29687.88026,551069,13712.78912,128894,3207.39552
115,2021-04-15,Brazil,GO,TOTAL,154,13460,2777,520713,13375,518753,191.78286,7419.30373,0.02585,494074,427613,1034706,14742.85851,697957,9944.73918,210167,2994.53405
115,2021-04-15,Brazil,MA,TOTAL,46,6737,390,252848,6737,252848,95.22018,3573.73189,0.02664,227535,2815,609020,8607.83632,644150,9104.36072,194659,2751.29357
115,2021-04-15,Brazil,MG,TOTAL,469,29105,9806,1257064,29105,1257064,137.49014,5938.28906,0.02315,1142813,2675975,3605959,17034.31717,2529995,11951.53280,864604,4084.33339
115,2021-04-15,Brazil,MS,TOTAL,44,5099,1062,235010,5055,233948,183.48419,8456.68168,0.02170,215207,2538,716190,25771.63037,403296,14512.34371,156284,5623.77788
115,2021-04-15,Brazil,MT,TOTAL,72,8937,2297,338597,8786,336562,256.48119,9717.32828,0.02639,311244,48576,1039067,29819.97815,300240,8616.52833,101304,2907.30344
115,2021-04-15,Brazil,PA,TOTAL,80,11635,2392,448256,11555,445864,135.24564,5210.54323,0.02596,417576,720,980727,11400.00453,917440,10664.35426,283268,3292.71702
115,2021-04-15,Brazil,PB,TOTAL,31,6347,1368,276669,6347,276669,157.95917,6885.52154,0.02294,193852,77408,763570,19003.13255,559665,13928.50450,178957,4453.74176
